朝代,姓名,姓名-简体,登科年份,登科年号,登科年号年份,登科年龄,科考成绩
清,王仁堪,王仁堪,1905,光绪,31,,1甲1名
清,葉芾棠,叶芾棠,1905,光绪,31,,第2甲第17名
清,景潤,景润,1904,光绪,30,,
清,黃瑞麒,黄瑞麒,1904,光绪,30,,
清,陳毅,陈毅,1904,光绪,30,,
清,王賡,王赓,1904,光绪,30,,
清,龍建章,龙建章,1904,光绪,30,,第2甲第32名
清,關賡麟,关赓麟,1904,光绪,30,,第2甲第101名
清,麥鴻鈞,麦鸿钧,1904,光绪,30,,第2甲第7名
清,李鳳書,李凤书,1904,光绪,30,,第3甲第92名
清,張其鍠,张其锽,1904,光绪,30,,第2甲第118名
清,陸光熙,陆光熙,1904,光绪,30,,第3甲第62名
清,瓜爾佳金梁,瓜尔佳金梁,1904,光绪,30,,
清,童錫燾,童锡焘,1904,光绪,30,,第2甲第53名
清,方貞,方贞,1904,光绪,30,,第3甲第15名
清,方兆鼇,方兆鼇,1904,光绪,30,,第2甲第50名
清,商衍鎏,商衍鎏,1904,光绪,30,,第1甲第3名
清,高仕坊,高仕坊,1904,光绪,30,,第2甲第112名
清,唐尚光,唐尚光,1904,光绪,30,,第2甲第44名
清,章祖申,章祖申,1904,光绪,30,,第2甲第105名
清,章圭瑑,章圭瑑,1904,光绪,30,,第3甲第88名
清,章梫,章梫,1904,光绪,30,,第3甲第52名
清,章錫光,章锡光,1904,光绪,30,,第3甲第148名
清,顏楷,颜楷,1904,光绪,30,,第2甲第3名
清,譚延闓,谭延闿,1904,光绪,30,,第2甲第35名
清,譚肇松,谭肇松,1904,光绪,30,,第2甲第49名
清,許承堯,许承尧,1904,光绪,30,,第2甲第40名
清,許業芴,许业芴,1904,光绪,30,,第2甲第114名
清,許樹聲,许树声,1904,光绪,30,,第3甲第129名
清,龔福燾,龚福焘,1904,光绪,30,,第2甲第82名
清,龔錫樞,龚锡枢,1904,光绪,30,,第3甲第172名
清,謝鑾坡,谢銮坡,1904,光绪,30,,第2甲第83名
清,謝啟中,谢启中,1904,光绪,30,,第2甲第31名
清,謝桓武,谢桓武,1904,光绪,30,,第3甲第60名
清,郭壽清,郭寿清,1904,光绪,30,,第2甲第29名
清,郭輔唐,郭辅唐,1904,光绪,30,,第3甲第142名
清,郭鍾美,郭钟美,1904,光绪,30,,第3甲第51名
清,施堯章,施尧章,1904,光绪,30,,第2甲第59名
清,王慶麟,王庆麟,1904,光绪,30,,第2甲第34名
清,王文煥,王文焕,1904,光绪,30,,第3甲第127名
清,王言綍,王言綍,1904,光绪,30,,第3甲第107名
清,王元璐,王元璐,1904,光绪,30,,第3甲第95名
清,王引昌,王引昌,1904,光绪,30,,第2甲第115名
清,王承佐,王承佐,1904,光绪,30,,第3甲第149名
清,王季烈,王季烈,1904,光绪,30,,第2甲第110名
清,王寶璜,王宝璜,1904,光绪,30,,第3甲第67名
清,王鴻詵,王鸿诜,1904,光绪,30,,第3甲第37名
清,王樹忠,王树忠,1904,光绪,30,,第3甲第78名
清,王枚,王枚,1904,光绪,30,,第2甲第39名
清,王慧憫,王慧悯,1904,光绪,30,,第3甲第43名
清,王景崧,王景崧,1904,光绪,30,,第3甲第144名
清,賈景德,贾景德,1904,光绪,30,,第3甲第40名
清,王烜,王烜,1904,光绪,30,,第3甲第42名
清,王炳震,王炳震,1904,光绪,30,,第2甲第90名
清,王慎賢,王慎贤,1904,光绪,30,,第3甲第145名
清,聶傳曾,聂传曾,1904,光绪,30,,第3甲第29名
清,夏和清,夏和清,1904,光绪,30,,第3甲第116名
清,夏道煇,夏道𪸩,1904,光绪,30,,第3甲第143名
清,覃壽堃,覃寿堃,1904,光绪,30,,第3甲第57名
清,雷延壽,雷延寿,1904,光绪,30,,第2甲第97名
清,雷多壽,雷多寿,1904,光绪,30,,第2甲第111名
清,雷恆,雷恒,1904,光绪,30,,第3甲第46名
清,雲書,云书,1904,光绪,30,,第3甲第73名
清,張應濟,张应济,1904,光绪,30,,第3甲第118名
清,張詒,张诒,1904,光绪,30,,第2甲第104名
清,張雲翼,张云翼,1904,光绪,30,,第3甲第11名
清,張琴,张琴,1904,光绪,30,,第2甲第86名
清,張廷棟,张廷栋,1904,光绪,30,,第3甲第111名
清,張稱達,张称达,1904,光绪,30,,第3甲第141名
清,張俊英,张俊英,1904,光绪,30,,第3甲第63名
清,張名振,张名振,1904,光绪,30,,第2甲第120名
清,張鴻,张鸿,1904,光绪,30,,第3甲第1名
清,張肇基,张肇基,1904,光绪,30,,第3甲第128名
清,張肇銓,张肇铨,1904,光绪,30,,第3甲第82名
清,張啟後,张启后,1904,光绪,30,,第2甲第1名
清,張茂炯,张茂炯,1904,光绪,30,,第2甲第6名
清,張世畸,张世畸,1904,光绪,30,,第2甲第87名
清,張朝輔,张朝辅,1904,光绪,30,,第3甲第20名
清,張成修,张成修,1904,光绪,30,,第2甲第85名
清,張成棟,张成栋,1904,光绪,30,,第2甲第20名
清,張國溶,张国溶,1904,光绪,30,,第2甲第95名
